Well name,"MD
(m)","Incl
(°)","Azim Grid
(°)","TVD
(m)"
SY101,0,0,0,0
SY101,25,0,90,25
SY101,50,0,90,50
SY101,75,0,90,75
SY101,100,0,90,100
SY101,125,0,90,125
SY101,150,0,90,150
SY101,175,0,90,175
SY101,200,0,90,200
SY101,225,0,90,225
SY101,250,0,90,250
SY101,275,0,90,275
SY101,300,0,90,300
SY101,325,0,90,325
SY101,350,0,90,350
SY101,375,0,90,375
SY101,400,0,90,400
SY101,425,0,90,425
SY101,450,0,90,450
SY101,475,0,90,475
SY101,500,0.048,194.547,499.999
SY101,525,0.785,41.507,524.997
SY101,550,0.769,44.723,549.994
SY101,575,0.779,46.516,574.992
SY101,600,0.83,40.006,599.989
SY101,625,0.928,44.054,624.986
SY101,650,0.995,50.754,649.983
SY101,675,1.055,52.93,674.979
SY101,700,1.18,54.71,699.973
SY101,725,1.255,55.603,724.967
SY101,750,1.25,53.447,749.961
SY101,775,1.215,52.794,774.955
SY101,800,1.22,55.407,799.949
SY101,825,1.285,57.064,824.943
SY101,850,1.315,57.197,849.937
SY101,875,1.375,57.778,874.931
SY101,900,1.475,59.655,899.925
SY101,925,1.495,58.449,924.918
SY101,950,1.5,57.859,949.912
SY101,975,1.475,59.397,974.906
SY101,1000,1.435,62.061,999.9
SY101,1025,1.44,63.397,1024.888
SY101,1050,1.46,63.911,1049.876
SY101,1075,1.485,64.547,1074.864
SY101,1100,1.385,65.368,1099.852
SY101,1125,1.275,67.501,1124.846
SY101,1150,1.254,63.401,1149.84
SY101,1175,1.224,56.901,1174.84
SY101,1200,1.19,56.248,1199.84
SY101,1225,1.145,58.696,1224.84
SY101,1250,1.059,64.333,1249.84
SY101,1275,1.035,70.475,1274.84
SY101,1300,1.039,70.261,1299.84
SY101,1325,1.042,61.042,1324.84
SY101,1350,1.099,57.991,1349.84
SY101,1375,1.15,60.532,1374.84
SY101,1400,1.235,60.627,1399.837
SY101,1425,1.295,63.457,1424.827
SY101,1450,1.254,62.222,1449.822
SY101,1475,1.159,63.162,1474.822
SY101,1500,1.117,73.646,1499.822
SY101,1525,1.058,91.218,1524.822
SY101,1550,0.903,107.098,1549.822
SY101,1575,0.8,110.651,1574.822
SY101,1600,0.795,106.585,1599.822
SY101,1625,0.78,105.443,1624.822
SY101,1650,0.745,109.043,1649.822
SY101,1675,0.785,108.992,1674.822
SY101,1700,0.839,110.112,1699.822
SY101,1725,0.864,107.879,1724.822
SY101,1750,0.883,108.661,1749.822
SY101,1775,0.885,112.135,1774.822
SY101,1800,0.85,110.192,1799.822
SY101,1825,0.87,110.544,1824.822
SY101,1850,0.895,112.232,1849.822
SY101,1875,0.894,110.337,1874.822
SY101,1900,0.915,106.8,1899.822
SY101,1925,0.869,109.531,1924.822
SY101,1950,0.895,115.584,1949.822
SY101,1975,0.94,120.9,1974.822
SY101,2000,0.93,121.846,1999.822
SY101,2025,0.934,124.973,2024.822
SY101,2050,0.975,129.405,2049.822
SY101,2075,1.04,127.72,2074.822
SY101,2100,1.059,122.898,2099.822
SY101,2125,1.07,118.434,2124.822
SY101,2150,1.13,115.884,2149.822
SY101,2175,1.175,112.689,2174.822
SY101,2200,1.125,109.858,2199.822
SY101,2225,1.064,113.66,2224.822
SY101,2250,1.08,117.494,2249.822
SY101,2275,1.089,119.402,2274.822
SY101,2300,1.075,121.499,2299.822
SY101,2325,1.135,119.974,2324.822
SY101,2350,1.18,117.303,2349.822
SY101,2375,1.109,114.068,2374.822
SY101,2400,1.025,112.002,2399.822
SY101,2425,0.979,109.099,2424.822
SY101,2450,0.925,107.685,2449.822
SY101,2475,0.709,109.355,2474.822
SY101,2500,0.506,97.65,2499.822
SY101,2525,0.398,53.811,2524.822
SY101,2550,0.369,12.66,2549.822
SY101,2575,0.016,185.158,2574.822
SY101,2600,0.375,350.855,2599.822
SY101,2625,0.066,110.899,2624.822
SY101,2650,0.058,106.584,2649.822
SY101,2675,0.181,262.757,2674.822
SY101,2700,0.223,96.526,2699.822
SY101,2725,0.298,58.442,2724.822
SY101,2750,0.339,126.768,2749.822
SY101,2775,0.464,179.092,2774.822
SY101,2800,0.544,178.52,2799.822
SY101,2825,0.605,168.581,2824.822
SY101,2850,0.725,166.536,2849.822
SY101,2875,0.86,165.712,2874.822
SY101,2900,0.92,163.143,2899.822
SY101,2925,0.955,161.897,2924.822
SY101,2950,1.048,168.527,2949.822
SY101,2975,1.105,176.899,2974.822
SY101,3000,1.109,175.115,2999.822
SY101,3025,1.15,170.085,3024.822
SY101,3050,1.173,163.222,3049.822
SY101,3075,1.108,152.153,3074.822
SY101,3100,0.907,139.985,3099.822
SY101,3125,0.86,135.423,3124.822
SY101,3150,0.955,139.872,3149.822
SY101,3175,0.98,141.898,3174.822
SY101,3200,0.985,140.197,3199.822
SY101,3225,0.96,136.508,3224.822
SY101,3250,0.829,123.234,3249.822
SY101,3275,0.693,124.957,3274.822
SY101,3300,0.726,149.829,3299.822
SY101,3325,1.169,152.86,3324.822
SY101,3350,1.705,148.345,3349.822
SY101,3375,1.974,149.344,3374.822
SY101,3400,2.169,150.726,3399.822
SY101,3425,2.545,149.642,3424.797
SY101,3450,2.921,150.087,3449.748
SY101,3475,3.116,150.868,3474.699
SY101,3500,3.306,148.698,3499.65
SY101,3525,3.531,148.602,3524.601
SY101,3550,3.724,150.715,3549.552
SY101,3575,3.689,153.746,3574.504
SY101,3600,3.379,152.789,3599.455
SY101,3625,3.196,150.196,3624.406
SY101,3650,3.251,150.051,3649.357
SY101,3675,3.27,148.139,3674.308
SY101,3700,3.16,143.025,3699.26
SY101,3725,3.088,135.206,3724.211
SY101,3750,3.257,124.862,3749.162
SY101,3775,3.605,117.144,3774.113
SY101,3800,3.927,112.723,3799.064
SY101,3825,4.31,109.728,3823.998
SY101,3850,4.788,108.747,3848.9
SY101,3875,4.991,108.098,3873.802
SY101,3900,4.995,108.453,3898.705
SY101,3925,5.259,109.453,3923.607
SY101,3950,5.676,109.752,3948.484
SY101,3975,5.983,110.001,3973.337
SY101,4000,6.22,110.1,3998.191
SY101,4025,6.6,110.813,4023.028
SY101,4050,7.062,111.905,4047.833
SY101,4075,6.975,113.342,4072.643
SY101,4100,6.482,114.648,4097.489
SY101,4125,6.071,113.806,4122.343
SY101,4150,5.705,112.254,4147.216
SY101,4175,5.584,110.589,4172.102
SY101,4200,5.407,108.51,4196.999
SY101,4225,5.114,108.75,4221.901
SY101,4250,4.91,110.594,4246.803
SY101,4275,4.641,113.394,4271.706
SY101,4300,4.327,117.626,4296.64
SY101,4325,3.953,119.602,4321.591
SY101,4350,3.768,117.193,4346.542
SY101,4375,3.467,118.27,4371.493
SY101,4400,3.035,118.984,4396.444
SY101,4425,2.897,116.351,4421.396
SY101,4450,2.947,115.491,4446.347
SY101,4475,2.795,117.099,4471.298
SY101,4500,2.342,118.494,4496.292
SY101,4525,1.92,111.444,4521.292
SY101,4550,1.618,94.213,4546.292
SY101,4575,1.402,76.61,4571.292
SY101,4600,1.444,74.483,4596.292
SY101,4625,1.554,80.797,4621.292
SY101,4650,1.339,81.394,4646.292
SY101,4675,1.204,83.279,4671.292
SY101,4700,1.316,95.044,4696.292
SY101,4714,0,90,4710.292
