Well name,"MD
(m)","Incl
(°)","Azim Grid
(°)","TVD
(m)"
SYX211,525,0.512,27.222,525
SYX211,550,0.523,20.487,549.999
SYX211,575,0.579,22.511,574.998
SYX211,600,0.591,20.606,599.997
SYX211,625,0.616,23.86,624.995
SYX211,650,0.636,24.379,649.994
SYX211,675,0.648,24.691,674.992
SYX211,700,0.678,27.842,699.99
SYX211,725,0.727,30.403,724.989
SYX211,750,0.776,31.544,749.986
SYX211,775,0.803,32.617,774.984
SYX211,800,0.828,37.712,799.981
SYX211,825,0.82,35.759,824.979
SYX211,850,0.879,30.313,849.976
SYX211,875,0.735,27.342,874.974
SYX211,900,0.479,50.414,899.972
SYX211,925,0.525,67.212,924.971
SYX211,950,0.692,77.643,949.97
SYX211,975,0.938,67.948,974.967
SYX211,1000,0.907,69.423,999.964
SYX211,1025,0.942,69.848,1024.961
SYX211,1050,1.105,66.663,1049.957
SYX211,1075,0.99,69.351,1074.953
SYX211,1100,1.018,71.147,1099.949
SYX211,1125,0.999,66.956,1124.945
SYX211,1150,0.985,63.594,1149.941
SYX211,1175,0.968,59.305,1174.938
SYX211,1200,0.937,56.236,1199.934
SYX211,1225,0.874,56.468,1224.931
SYX211,1250,0.815,55.937,1249.928
SYX211,1275,0.709,55.625,1274.926
SYX211,1300,0.587,61.097,1299.924
SYX211,1325,0.494,63.353,1324.923
SYX211,1350,0.437,70.534,1349.922
SYX211,1375,0.352,71.848,1374.922
SYX211,1400,0.323,73.445,1399.921
SYX211,1425,0.337,75.404,1424.921
SYX211,1450,0.349,76.301,1449.921
SYX211,1475,0.295,81.02,1474.92
SYX211,1500,0.213,81.266,1499.92
SYX211,1525,0.167,87.172,1524.92
SYX211,1550,0.123,93.319,1549.92
SYX211,1575,0.12,92.972,1574.92
SYX211,1600,0.189,118.266,1599.92
SYX211,1625,0.226,109.017,1624.919
SYX211,1650,0.227,93.799,1649.919
SYX211,1675,0.198,81.012,1674.919
SYX211,1700,0.255,94.488,1699.919
SYX211,1725,0.287,79.358,1724.919
SYX211,1750,0.28,103.859,1749.918
SYX211,1775,0.44,104.415,1774.918
SYX211,1800,0.426,99.891,1799.917
SYX211,1825,0.387,109.176,1824.916
SYX211,1850,0.488,95.587,1849.916
SYX211,1875,0.53,97.545,1874.915
SYX211,1900,0.526,106.144,1899.914
SYX211,1925,0.478,110.751,1924.913
SYX211,1950,0.498,113.938,1949.912
SYX211,1975,0.388,119.418,1974.911
SYX211,2000,0.422,121.438,1999.91
SYX211,2025,0.411,110.922,2024.91
SYX211,2050,0.419,113.027,2049.909
SYX211,2075,0.356,108.934,2074.908
SYX211,2100,0.34,120.278,2099.908
SYX211,2125,0.366,128.546,2124.908
SYX211,2150,0.344,143.037,2149.907
SYX211,2175,0.283,129.893,2174.907
SYX211,2200,0.246,130.857,2199.906
SYX211,2225,0.279,162.739,2224.906
SYX211,2250,0.231,182.86,2249.906
SYX211,2275,0.393,194.379,2274.906
SYX211,2300,0.467,162.294,2299.905
SYX211,2325,0.74,148.751,2324.903
SYX211,2350,0.839,143.546,2349.901
SYX211,2375,0.77,143.68,2374.898
SYX211,2400,0.526,119.689,2399.897
SYX211,2425,0.761,98.994,2424.896
SYX211,2450,0.474,143.442,2449.894
SYX211,2475,0.632,195.96,2474.893
SYX211,2500,0.816,197.306,2499.891
SYX211,2525,1.093,209.862,2524.887
SYX211,2550,1.468,197.962,2549.881
SYX211,2575,1.374,198.824,2574.873
SYX211,2600,1.332,194.439,2599.866
SYX211,2625,1.263,201.515,2624.86
SYX211,2650,1.399,207.868,2649.853
SYX211,2675,1.37,206.772,2674.846
SYX211,2700,1.273,203.811,2699.839
SYX211,2725,1.401,208.591,2724.832
SYX211,2750,1.401,210.353,2749.825
SYX211,2775,1.279,209.645,2774.818
SYX211,2800,1.351,208.265,2799.812
SYX211,2825,1.489,202.351,2824.804
SYX211,2850,1.579,194.304,2849.795
SYX211,2875,1.564,184.142,2874.785
SYX211,2900,1.422,177.005,2899.777
SYX211,2925,1.245,173.731,2924.77
SYX211,2950,1.132,170.907,2949.765
SYX211,2975,1.089,172.216,2974.76
SYX211,3000,0.985,169.174,2999.756
SYX211,3025,0.745,164.565,3024.753
SYX211,3050,0.62,171.521,3049.751
SYX211,3075,0.727,178.56,3074.75
SYX211,3100,0.743,175.876,3099.748
SYX211,3125,0.595,169.081,3124.746
SYX211,3150,0.591,159.84,3149.744
SYX211,3175,0.572,159.138,3174.743
SYX211,3200,0.55,165.6,3199.742
SYX211,3225,0.469,171.725,3224.741
SYX211,3250,0.286,173.848,3249.74
SYX211,3275,0.379,166.256,3274.74
SYX211,3300,0.363,156.972,3299.74
SYX211,3325,0.305,158.157,3324.739
SYX211,3350,0.263,148.82,3349.739
SYX211,3375,0.289,167.275,3374.739
SYX211,3400,0.42,178.524,3399.738
SYX211,3425,0.39,171.36,3424.737
SYX211,3450,0.49,162.72,3449.737
SYX211,3475,0.553,154.855,3474.736
SYX211,3500,0.762,146.88,3499.734
SYX211,3525,1.215,137.52,3524.73
SYX211,3550,1.422,136.587,3549.723
SYX211,3575,1.413,144.212,3574.716
SYX211,3600,1.413,150.998,3599.708
SYX211,3625,1.173,163.3,3624.702
SYX211,3650,0.992,189.229,3649.698
SYX211,3675,0.954,206.01,3674.694
SYX211,3700,0.967,192.688,3699.69
SYX211,3725,0.875,186.129,3724.687
SYX211,3750,0.824,187.2,3749.684
SYX211,3775,0.785,188.676,3774.682
SYX211,3800,0.756,190.787,3799.68
SYX211,3825,0.613,191.345,3824.678
SYX211,3850,0.632,187.325,3849.676
SYX211,3875,0.586,185.483,3874.675
SYX211,3900,0.542,180.893,3899.674
SYX211,3925,0.556,179.805,3924.673
SYX211,3950,0.517,178.336,3949.671
SYX211,3975,0.551,177.12,3974.67
SYX211,4000,0.552,181.512,3999.669
SYX211,4025,0.493,176.76,4024.668
SYX211,4050,0.515,163.059,4049.667
SYX211,4075,4.1,313.714,4074.643
SYX211,4100,10.462,311.287,4099.429
SYX211,4125,15.582,311.339,4123.777
SYX211,4150,16.77,298.791,4147.787
SYX211,4175,20.937,291.63,4171.441
SYX211,4200,25.159,291.398,4194.44
SYX211,4225,30.283,291.934,4216.563
SYX211,4250,33.756,292.046,4237.757
SYX211,4275,35.849,292.908,4258.284
SYX211,4300,38.814,292.298,4278.16
SYX211,4325,39.821,291.919,4297.501
SYX211,4350,43.305,291.638,4316.204
SYX211,4375,46.519,292.45,4333.906
SYX211,4400,49.454,293.055,4350.637
SYX211,4425,50.743,293.179,4366.673
SYX211,4450,53.213,292.406,4382.071
SYX211,4475,55.233,293.197,4396.687
SYX211,4500,56.841,293.085,4410.652
SYX211,4525,57.567,292.686,4424.193
SYX211,4550,58.273,293.554,4437.471
SYX211,4575,59.335,294.033,4450.42
SYX211,4600,58.222,294.079,4463.378
SYX211,4625,59.021,293.436,4476.396
SYX211,4650,59.874,293.008,4489.104
SYX211,4675,60.33,293.393,4501.565
SYX211,4700,60.648,293.641,4513.88
SYX211,4725,61.082,293.802,4526.052
SYX211,4750,61.149,293.569,4538.128
SYX211,4775,60.716,293.57,4550.273
SYX211,4800,61,293.74,4562.448
SYX211,4825,61.963,293.758,4574.384
SYX211,4850,62.347,293.574,4586.061
SYX211,4875,61.886,293.864,4597.753
SYX211,4900,61.093,293.842,4609.686
SYX211,4925,59.7,293.56,4622.035
SYX211,4950,59.869,293.76,4634.617
SYX211,4975,60.444,292.845,4647.057
SYX211,5000,61.079,292.714,4659.269
SYX211,5025,61.967,292.743,4671.188
SYX211,5050,62.699,292.829,4682.797
SYX211,5075,62.756,292.814,4694.252
SYX211,5100,62.881,292.587,4705.672
SYX211,5121.71,62.881,292.587,4715.995
