压力，MPa,"体积系数B_g,（10e-3m^3/bm^3）",,,,
,16.5℃,46.5℃,78.0℃,109.0℃,140.32℃
12,6.7006,8.079,9.4532,10.6627,11.8305
14,5.6892,6.8674,8.0634,9.0987,10.1966
16,4.9614,5.9812,7.0572,7.9726,8.9767
18,4.4172,5.3368,6.2794,7.1156,8.0144
20,4.0137,4.8374,5.6788,6.4253,7.2532
22,3.7144,4.4495,5.2044,5.8821,6.6297
24,3.4725,4.1252,4.8144,5.4369,6.1136
26,3.2828,3.8677,4.4849,5.0678,5.6746
28,3.1305,3.6519,4.218,4.756,5.3066
30,2.9991,3.4725,3.9949,4.4912,4.9906
32,2.8959,3.3224,3.7999,4.2639,4.7112
34,2.801,3.1973,3.6383,4.0647,4.4766
36,2.7228,3.0888,3.4996,3.899,4.2649
38,2.6561,2.9908,3.3693,3.7467,4.0773
40,2.5946,2.9074,3.2629,3.6143,3.9094
42,2.5414,2.8323,3.1649,3.4965,3.7665
44,2.4893,2.7656,3.0794,3.3912,3.6362
46,2.4455,2.7041,3.0044,3.2963,3.5257
48,2.4048,2.6519,2.9293,3.2077,3.4225
50,2.3673,2.6019,2.8626,3.1253,3.3286
52,2.3339,2.555,2.8052,3.0523,3.2421
54,2.3016,2.5133,2.752,2.9804,3.1608
56,2.2703,2.4736,2.7009,2.9147,3.0846
58,2.2443,2.4361,2.6561,2.8553,3.0221
*75.732,2.0607,2.2119,2.3527,2.4622,2.5769
（注：*表示地层压力，该点值是在实验点基础上所得的模拟值，而不是实测值。）,,,,,
