压力,热膨胀系数alpha_P，(10e-2/℃）,,,,
MPa,16.5-,46.5-,78.0-,109.0-,16.5-
,46.5℃,78.0℃,109.0℃,140.32℃,140.32℃
12,0.6857,0.54,0.4127,0.3497,0.6183
14,0.6903,0.5528,0.4142,0.3853,0.6399
16,0.6851,0.5711,0.4185,0.4021,0.6536
18,0.694,0.5607,0.4296,0.4033,0.6577
20,0.6841,0.5522,0.4241,0.4114,0.6519
22,0.6597,0.5386,0.4201,0.4058,0.6339
24,0.6265,0.5304,0.4171,0.3974,0.6142
26,0.5939,0.5066,0.4192,0.3823,0.5884
28,0.5551,0.4922,0.4115,0.3696,0.5614
30,0.5261,0.4776,0.4008,0.3551,0.5363
32,0.4909,0.4563,0.3939,0.3349,0.5062
34,0.4715,0.4379,0.3781,0.3235,0.4831
36,0.448,0.4222,0.3681,0.2997,0.4574
38,0.42,0.4017,0.3614,0.2817,0.4321
40,0.4019,0.3882,0.3474,0.2607,0.4093
42,0.3815,0.3728,0.3379,0.2466,0.3893
44,0.37,0.3603,0.3266,0.2307,0.3721
46,0.3525,0.3525,0.3135,0.2222,0.3567
48,0.3425,0.332,0.3066,0.2138,0.3418
50,0.3303,0.318,0.2961,0.2077,0.328
52,0.3157,0.3109,0.2842,0.1985,0.3143
54,0.3065,0.3016,0.2677,0.1932,0.3015
56,0.2985,0.2917,0.2553,0.1862,0.2897
58,0.2849,0.2867,0.2419,0.1866,0.2799
*75.7321,0.2445,0.202,0.1501,0.1487,0.2023
（注：*表示地层压力，该点值是在实验点基础上所得的模拟值，而不是实测值。）,,,,,
