压力,密度，（g/cm3）,,,,
MPa,16.5℃,46.5℃,78.0℃,109.0℃,140.32℃
12,0.1042,0.0865,0.0739,0.0655,0.059
14,0.1228,0.1017,0.0866,0.0768,0.0685
16,0.1408,0.1168,0.099,0.0876,0.0778
18,0.1581,0.1309,0.1112,0.0982,0.0872
20,0.174,0.1444,0.123,0.1087,0.0963
22,0.188,0.157,0.1342,0.1187,0.1054
24,0.2011,0.1693,0.1451,0.1285,0.1142
26,0.2128,0.1806,0.1557,0.1378,0.1231
28,0.2231,0.1913,0.1656,0.1469,0.1316
30,0.2329,0.2011,0.1748,0.1555,0.14
32,0.2412,0.2102,0.1838,0.1638,0.1483
34,0.2494,0.2185,0.192,0.1718,0.156
36,0.2565,0.2261,0.1996,0.1791,0.1638
38,0.263,0.2335,0.2073,0.1864,0.1713
40,0.2692,0.2402,0.2141,0.1932,0.1787
42,0.2748,0.2466,0.2207,0.1998,0.1854
44,0.2806,0.2526,0.2268,0.206,0.1921
46,0.2856,0.2583,0.2325,0.2119,0.1981
48,0.2904,0.2634,0.2384,0.2177,0.2041
50,0.295,0.2684,0.244,0.2235,0.2098
52,0.2993,0.2734,0.249,0.2288,0.2154
54,0.3035,0.2779,0.2538,0.2344,0.221
56,0.3076,0.2824,0.2586,0.2396,0.2264
58,0.3112,0.2867,0.263,0.2446,0.2311
*75.732,0.3389,0.3158,0.2969,0.2837,0.271
（注：*表示地层压力，该点值是在实验点基础上所得的模拟值，而不是实测值。）,,,,,
