,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SY9井试油试采数据表,,,,,,,,,,,,,,,,,,
测试层号,地层,岩性,测试井底,测试井段,,厚 度,压力计下深,,日产量(m3),,,,层累计产量(10^4m3),,,气油比,含泥浆,含砂
,,,,,,,,,油,,气,水,油,气,水,,,
,,,(m),(m),,   层数,(m),,,,,,,,,(m3/m3),(%),(%)
1,古生界,晶粒白云岩、砂屑白云岩、鲕粒白云岩、泥质灰岩,4607.5,4549-4607.5（射孔）,,58.5m/1,4400,,0,,568663,6,0,39590.3238,0.34986,纯气,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
测试,温度(℃)  ,,,压力(MPa),,,压差,压降,天然气相对密度,泥浆氯根,测试结论,,,,,,,
层号,井口,井底流温,井底静温,井口,井底流压,井底静压,,,,,,,,,,,,
,,,,,,,(MPa),(%),(air=1),(mg/l),,,,,,,,
1,33.101,140.32,136.689,57.9256,71.2256,74.875,2.7697,3.69909849749583,0.577,/,干气藏,,,,,,,
,,,,,,,,,,/,,,,,,,,
